Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,222.09,12.72,783.68,21.70,15.89,17.75,108.72,2.04,205.30,8.42,1.75,0.71,0.34,4.99,8.00,7.39,17.15,17.23,17.64,1.04,58.93,3.53,267.48,898.50,0.00,45.04,11.40,98.43,6.00,10.35
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,71.99,1.90,75.59,78.43,30.64,86.98,90.74,0.79,278.05,2.01,14.28,0.04,0.00,6.30,7.00,83.36,73.96,37.87,21.48,11.00,162.31,1.05,165.80,66.95,0.00,64.43,68.47,17.99,4.00,68.93
3B Blackbio,532067,,Healthcare,1704.95,30.50,1463.30,20.95,37.40,15.42,287.37,5.93,601.65,13.16,9.02,0.70,0.00,11.66,5.00,43.29,-31.11,55.98,48.04,8.39,178.51,0.86,1763.82,1397.40,0.00,41.28,4.67,79.77,3.00,13.89
3M India,523395,3MINDIA,Diversified - Large,29680.00,60.24,33449.36,33.04,476.05,24.81,1478.47,20.07,4049.32,75.83,2.19,5.66,0.01,23.24,9.00,13.64,17.50,492.91,14.24,1.52,63.12,1.13,3800.52,32832.21,0.00,75.00,2.31,1183.71,3.00,16.97
A B B,500002,ABB,Electric Equipment,5820.00,65.28,123330.67,38.65,88.33,28.82,333.90,17.43,817.94,94.32,2.04,1.62,0.01,18.93,8.00,15.39,20.68,89.05,44.87,1.70,89.35,21.19,1569.54,117874.73,0.00,75.00,2.16,2880.54,3.00,16.04
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,30560.00,45.91,64940.00,46.23,665.64,35.66,1992.14,15.34,5462.24,48.93,3.39,2.42,0.05,21.39,7.00,22.07,9.26,665.64,45.91,2.76,21.65,2.12,9810.39,63508.75,0.00,74.99,2.99,2984.20,5.00,25.46
ABS Marine,,ABSMARINE,Shipping,128.00,12.96,314.24,20.01,,23.02,86.13,1.49,,,5.31,,0.21,4.38,7.00,19.36,15.14,,13.39,5.31,86.58,2.46,,263.78,0.00,63.42,12.23,33.66,2.00,14.53
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1381.60,16.33,2062.21,57.03,62.88,42.18,193.20,7.15,606.38,19.21,3.88,9.07,0.10,12.60,6.00,22.82,20.74,84.59,30.87,3.88,54.71,1.49,1104.59,2002.23,0.00,74.66,8.71,371.61,6.00,29.87
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,233.55,14.87,491.46,23.66,15.71,18.44,92.57,2.52,180.89,17.31,5.08,0.29,0.01,7.09,5.00,12.50,16.88,15.71,30.75,3.97,89.50,2.10,349.61,441.95,0.00,55.09,9.98,-10.65,4.00,15.26
Adani Power,533096,ADANIPOWER,Power Generation And Supply,565.50,17.11,218109.90,22.52,33.55,25.63,146.09,3.87,332.07,15.46,1.60,0.26,0.70,5.08,8.00,22.68,26.58,33.55,27.70,1.40,84.57,385.69,458.30,251484.89,1.81,74.96,7.83,26713.17,4.00,12.44
ADC India,523411,,Telecommunications - Equipment,1265.40,20.46,582.08,45.23,44.98,33.69,158.04,8.01,468.97,23.59,3.73,0.71,0.00,14.62,8.00,11.58,44.00,61.85,20.46,3.08,57.32,0.46,889.78,532.47,65.00,72.02,7.16,23.20,5.00,22.72
Aditya Ultra,,AUSL,Steel - Medium / Small,29.15,9.69,72.40,17.23,4.60,16.95,39.17,0.74,63.64,11.05,1.82,,0.72,5.32,7.00,1.27,19.23,4.60,24.59,1.14,29.34,2.48,49.37,121.95,0.00,68.76,13.58,7.03,5.00,6.10
Aditya Vision,540205,AVL,Trading,424.35,51.76,5459.82,18.70,8.20,19.71,45.36,9.35,91.48,31.33,1.99,1.04,0.82,10.87,2.00,4.67,35.96,8.20,47.36,0.47,0.05,12.87,218.85,5818.89,0.00,53.23,3.00,-129.62,5.00,10.05
Advait Energy,543230,,Cables - Power,1621.30,56.58,1751.10,27.58,28.66,22.44,187.38,8.65,347.58,50.27,1.72,0.43,0.26,7.89,6.00,8.03,71.84,28.66,31.11,1.65,173.00,1.08,1117.95,1707.73,0.00,69.46,3.19,18.23,4.00,9.27
Advani Hotels.,523269,ADVANIHOTR,Hotels,61.26,22.15,566.28,48.18,2.70,36.86,7.30,8.39,21.31,24.57,1.97,1.31,0.02,12.01,6.00,23.53,56.56,2.77,40.37,1.91,2.53,9.24,27.82,538.71,0.00,50.25,6.38,61.34,7.00,26.12
Aelea,544213,,Food - Processing - Indian,183.25,26.85,373.26,24.89,8.15,30.82,52.25,3.51,98.70,24.00,2.49,,0.23,6.97,5.00,8.60,-33.10,8.29,31.16,1.11,92.99,2.04,100.56,397.29,0.00,63.66,5.22,-21.67,3.00,11.93
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,167.39,41.22,2164.69,22.10,4.06,16.52,26.48,6.32,49.18,51.23,2.91,0.92,0.00,11.11,5.00,13.96,16.04,4.06,24.59,2.10,113.04,12.93,99.02,2138.53,0.00,66.99,3.29,-72.73,4.00,13.10
Aeron Composites,,AERON,Plastics Products,142.65,24.01,242.79,36.46,64.54,33.21,55.43,2.57,283.71,2.17,1.94,,0.36,4.65,7.00,5.06,36.33,64.54,26.80,1.47,75.75,1.70,465.27,222.06,0.00,73.63,7.12,3.88,6.00,11.87
Aesthetik,,AESTHETIK,Construction,73.50,25.26,126.57,36.87,3.97,40.05,23.13,3.18,45.48,18.62,1.97,,0.12,6.27,5.00,8.25,,3.97,34.16,1.31,29.88,1.72,181.37,129.46,0.00,69.54,5.62,,5.00,18.06
Afcom,544224,,Transport - Airlines,683.20,52.84,1698.28,36.65,14.12,28.46,76.77,8.90,160.64,47.80,7.28,,0.06,16.29,3.00,17.03,119.83,14.94,35.39,6.56,55.98,2.49,799.89,1703.06,0.00,42.73,2.77,-72.43,5.00,22.80
AGI Greenpac,500187,AGI,Packaging,837.10,16.80,5415.82,20.13,49.84,16.48,324.24,2.58,602.98,13.98,1.71,0.36,0.26,4.77,9.00,12.75,20.94,49.84,22.86,1.17,57.21,6.47,508.37,5604.89,0.00,60.24,9.13,744.84,5.00,9.41
Ahluwalia Contr.,532811,AHLUCONT,Construction,929.60,35.35,6227.16,23.84,55.96,16.36,248.64,3.74,515.43,23.20,2.08,2.43,0.04,5.62,7.00,6.00,24.83,47.49,33.68,1.83,70.59,6.70,586.78,5535.94,0.00,55.32,5.30,381.39,3.00,8.13
Aik Pipes & Poly,544072,,Plastics Products,82.00,18.64,52.18,22.99,5.36,24.77,35.77,2.29,59.51,19.84,2.38,,0.36,5.41,4.00,9.15,54.63,4.40,26.80,1.63,141.42,0.64,182.08,60.20,0.00,73.47,6.10,-15.29,3.00,14.54
Aimtron,,AIMTRON,Electronics - Components,576.95,45.76,1177.78,29.16,12.61,24.89,75.97,7.59,146.81,45.38,2.55,,0.00,10.89,5.00,16.26,81.86,12.61,50.12,2.08,198.79,2.04,223.68,1147.04,0.00,71.36,2.82,-38.16,3.00,15.95
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2603.60,35.34,32522.11,33.33,73.68,25.59,290.23,8.97,693.66,26.06,3.62,2.46,0.01,14.93,7.00,19.80,11.63,73.68,38.92,2.58,96.26,12.49,1196.22,32503.56,12.61,66.26,3.72,2104.84,2.00,20.26
Algoquant Fin,505725,,Finance & Investments,1013.50,66.53,1582.73,21.88,8.22,25.00,30.08,33.69,112.49,73.23,2.00,1.05,0.68,34.31,7.00,15.19,131.82,18.69,21.48,2.00,0.00,1.56,240.67,1614.61,26.83,73.68,1.72,-24.23,3.00,13.32
Alivus Life,543322,ALIVUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,1142.60,28.85,14011.61,25.14,39.63,18.86,229.92,4.97,452.79,15.04,4.97,3.17,0.02,9.72,4.00,20.35,3.98,39.63,30.75,3.53,148.29,12.26,654.46,13996.98,0.00,74.99,4.69,654.36,5.00,15.51
All E Tech,,ALLETEC,Computers - Software - Medium / Small,371.55,29.35,750.31,23.86,9.75,17.88,64.40,5.77,135.43,28.92,4.27,,0.00,10.42,7.00,16.91,23.88,12.66,30.87,4.27,46.01,2.02,244.73,619.10,0.00,50.05,5.52,33.62,6.00,14.27
Alldigi Tech,532633,ALLDIGI,Computers - Software - Medium / Small,960.70,20.76,1463.95,31.89,54.66,27.93,170.29,5.64,457.65,17.96,2.69,2.03,0.24,9.11,6.00,12.91,19.87,54.66,30.87,2.69,48.02,1.52,851.41,1444.81,0.00,73.39,6.76,248.01,7.00,17.92
Alpex Solar,,ALPEXSOLAR,Electric Equipment,847.80,91.81,2074.85,27.45,10.86,26.22,73.39,11.55,133.90,53.30,1.80,,0.37,12.89,6.00,5.48,40.57,10.86,44.87,1.28,62.68,2.45,199.92,2102.79,0.00,68.76,1.67,-22.88,4.00,13.21
Alufluoride,524634,,Chemicals,437.70,16.89,342.30,24.17,23.41,21.42,131.56,3.33,263.26,20.01,5.04,1.15,0.29,7.06,6.00,10.75,28.94,23.41,29.91,3.76,37.99,0.78,423.65,368.45,0.00,59.94,7.99,34.10,6.00,14.61
Aluwind Infra,,ALUWIND,Construction,54.10,22.14,134.42,36.07,4.13,36.21,21.66,2.50,38.26,15.79,2.18,,0.15,5.04,5.00,9.03,58.08,3.00,34.16,1.63,89.38,2.48,92.34,136.37,0.00,72.13,6.69,-9.03,4.00,14.83
Amal,506597,,Chemicals,535.05,22.58,661.46,35.95,23.69,34.65,80.23,6.67,206.80,85.39,1.89,0.83,0.00,12.08,9.00,21.64,46.00,23.69,29.91,1.61,26.84,1.24,444.30,658.05,0.00,71.35,5.27,32.30,5.00,25.69
Amba Enterprises,539196,,Electric Equipment,174.50,29.82,220.93,20.56,5.85,18.95,33.57,5.20,66.49,14.20,1.51,0.74,0.25,7.91,6.00,2.20,15.34,5.85,44.87,1.46,86.08,1.27,128.19,227.39,0.00,43.01,4.56,-0.49,2.00,8.84
Ameya Precision,,AMEYA,Engineering,113.55,19.05,85.16,24.13,5.91,17.73,36.56,3.11,69.71,19.86,4.62,0.93,0.00,7.90,7.00,11.58,17.74,5.91,34.05,3.75,73.21,0.75,103.69,79.20,0.00,72.29,7.69,2.77,5.00,15.02
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1123.60,57.96,9198.79,19.92,19.38,16.00,159.90,7.03,264.05,55.07,3.91,1.40,0.01,12.27,7.00,15.93,24.63,19.38,26.98,3.02,105.30,8.19,727.32,8962.79,0.00,35.96,2.48,-262.35,5.00,12.13
Amic Forging,544037,,Castings & Forgings,1422.05,54.53,1605.27,36.37,13.19,28.92,83.34,17.06,229.42,46.53,2.93,,0.04,27.37,4.00,9.71,68.31,28.07,28.60,2.49,84.59,1.13,1018.61,1587.74,0.00,57.96,2.42,5.99,5.00,15.82
Amines & Plast.,506248,AMNPLST,Chemicals,209.97,28.08,1155.25,23.30,7.24,19.78,42.86,4.90,84.91,20.15,2.20,1.45,0.34,7.98,9.00,6.16,13.55,7.48,29.91,1.37,55.25,5.50,105.68,1198.70,0.00,73.17,5.49,10.86,2.00,10.86
Amkay Products,544169,,Healthcare,45.50,12.46,39.38,22.36,4.13,21.98,26.06,1.75,49.65,15.61,3.70,,0.12,5.46,5.00,6.15,-8.55,4.20,48.04,2.39,46.87,0.87,63.76,38.65,0.00,73.44,12.37,-3.84,6.00,11.60
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,703.35,40.00,2033.43,22.41,17.58,16.53,112.97,6.23,211.40,41.41,3.44,2.64,0.01,11.01,8.00,11.25,3.64,17.58,38.92,3.11,45.09,2.89,343.34,1952.35,0.00,46.52,3.55,48.09,3.00,12.90
Amwill,544353,,Pharmaceuticals - Indian - Bulk Drugs & Formln,90.50,14.46,181.03,153.49,2508.00,115.07,,,,0.03,11.41,,0.00,22.63,6.00,30.10,34.14,2508.00,30.75,11.09,113.74,2.00,,177.75,0.00,70.65,9.41,3.55,3.00,79.80
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,1816.30,50.29,15079.04,56.26,36.12,45.33,81.18,22.37,256.84,39.55,2.67,1.35,0.12,28.91,5.00,32.03,30.33,36.12,21.48,2.67,13.78,8.30,901.86,15114.27,4.32,47.29,2.75,552.86,6.00,32.68
Annapurna Swadi.,,ANNAPURNA,Food - Processing - Indian,283.30,31.16,618.16,19.06,8.08,16.16,133.66,2.12,172.86,37.21,2.34,,0.30,4.80,2.00,5.41,134.85,9.94,31.16,1.83,40.78,2.18,502.11,550.90,53.09,39.88,5.97,-114.24,6.00,8.27
Apex Ecotech,,APEXECO,Engineering,100.60,20.01,132.64,79.09,68.45,60.38,,,,1.71,1.98,,0.07,9.97,6.00,12.49,65.54,68.45,35.65,1.89,59.62,1.32,,133.66,0.00,69.29,6.79,4.34,3.00,30.67
Apis India,506166,,Food - Processing - Indian,294.40,8.04,162.22,16.36,59.11,24.42,290.01,1.02,488.86,2.25,2.22,0.32,0.38,4.24,6.00,10.17,5.08,36.62,31.16,1.36,98.07,0.55,407.91,222.29,0.00,74.72,12.87,19.79,5.00,12.43
Aprameya Enginee,,APRAMEYA,Healthcare,158.00,18.66,300.83,31.12,8.47,36.79,33.75,4.68,80.18,33.20,1.86,0.21,0.47,6.21,6.00,11.88,57.10,8.47,48.04,1.76,320.38,1.90,340.60,329.71,0.00,73.53,7.55,-35.00,3.00,14.68
Arabian Petrol.,,ARABIAN,Chemicals,76.75,10.48,83.60,18.52,6.25,21.18,49.31,1.56,90.16,12.32,1.94,0.25,0.50,6.25,5.00,2.88,33.50,7.33,29.91,1.21,61.48,1.09,182.97,109.14,0.00,73.45,12.60,-21.85,6.00,8.58
Arham Tech,,ARHAM,Electronics - Consumer,95.00,28.81,160.74,22.14,2.88,22.65,15.54,6.11,33.97,35.53,1.50,,0.99,6.24,4.00,8.89,33.96,3.30,29.60,0.63,57.00,1.69,94.26,186.82,0.00,72.40,5.10,-12.50,4.00,11.99
Arkade,544261,ARKADE,Construction,164.63,19.48,3056.58,30.60,8.45,26.00,47.60,3.46,95.14,18.55,4.17,,0.13,6.93,4.00,22.97,44.84,8.45,33.68,1.04,18.58,18.57,142.33,3037.16,0.00,71.09,7.02,-235.32,6.00,17.19
Arrow Greentech,516064,ARROWGREEN,Plastics Products,605.75,14.83,913.95,35.32,19.56,26.07,108.83,5.57,316.70,23.80,10.71,0.49,0.01,12.71,8.00,19.75,41.52,40.96,26.80,8.97,79.16,1.51,494.29,882.74,0.00,64.81,9.59,0.65,5.00,21.99
Aryaman Capital,538716,,Finance & Investments,245.00,12.80,293.44,31.67,19.14,38.69,64.61,3.79,166.83,68.42,13.15,0.06,0.36,7.13,8.00,30.74,0.58,19.14,21.48,10.08,1.08,1.20,128.61,271.39,0.00,74.28,11.25,43.29,6.00,22.15
Aryaman Fin.Serv,530245,,Finance & Investments,560.70,20.75,655.01,37.62,27.02,43.30,73.57,7.62,211.47,23.31,19.09,0.20,0.50,8.84,6.00,40.05,10.01,27.02,21.48,16.20,1.00,1.17,414.41,613.13,0.00,63.92,9.42,81.48,6.00,28.21
Ascensive Educa.,543443,,Miscellaneous,19.30,30.21,78.84,20.62,0.64,18.69,3.81,5.06,7.40,14.76,1.82,0.70,0.54,7.24,4.00,7.38,38.73,0.64,34.32,1.82,222.72,4.09,15.64,86.56,0.00,52.24,4.62,-8.58,4.00,10.09
Ashima,514286,ASHIMASYN,Textiles - Cotton/Blended,32.46,6.37,622.13,19.20,5.03,35.92,15.98,2.03,37.18,6.10,3.56,0.05,0.40,4.03,6.00,29.28,46.97,3.85,23.61,1.87,53.98,19.17,22.17,687.29,0.00,73.49,10.18,-76.41,3.00,22.32
Aspira Pathlab,540788,,Healthcare,53.25,26.48,54.81,17.15,2.01,23.75,11.86,4.49,23.17,21.14,2.26,1.32,0.26,7.96,8.00,9.41,4.03,2.01,48.04,2.05,38.99,1.03,38.67,55.87,0.00,18.39,4.35,2.35,4.00,12.85
Aspire & Innovat,,ASPIRE,Trading,39.30,7.91,59.65,36.37,8.38,35.32,31.13,1.26,66.25,7.14,1.74,,0.02,6.08,5.00,2.41,52.57,6.27,28.96,1.18,57.26,1.52,150.71,52.89,0.00,72.35,20.85,-14.82,5.00,10.31
Assoc.Alcohols,507526,ASALCBR,Breweries & Distilleries,1122.30,26.42,2152.48,20.01,42.47,17.27,271.28,4.14,509.16,14.36,1.68,2.60,0.20,8.13,6.00,7.57,27.99,42.47,29.88,0.76,13.38,1.92,924.27,2238.71,0.00,59.29,5.15,-173.32,4.00,12.19
Associated,544183,,Miscellaneous,108.44,14.51,14.66,80.47,10.86,85.23,45.19,2.40,105.09,1.20,3.02,,0.02,5.37,5.00,18.77,,10.86,26.75,2.81,171.64,0.14,605.86,11.12,0.00,68.79,12.23,0.84,2.00,27.01
Astra Microwave,532493,ASTRAMICRO,Telecommunications - Equipment,1072.80,75.78,10185.70,18.77,12.75,15.05,103.28,10.39,181.38,43.25,2.59,0.72,0.31,12.89,6.00,13.32,12.35,14.16,73.12,1.35,202.89,9.49,254.83,10416.53,0.00,6.54,2.14,-201.32,1.00,9.57
Astral,532830,ASTRAL,Plastics Products,1359.70,69.96,36526.26,23.16,20.33,18.05,125.38,10.84,235.05,85.26,1.80,3.15,0.06,15.39,6.00,9.44,21.10,19.58,26.80,0.76,24.31,26.86,449.76,36367.16,0.00,54.10,2.05,718.70,3.00,12.02
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,7837.50,116.90,19593.75,31.13,64.60,22.92,271.74,28.84,486.99,106.75,2.25,5.24,0.03,28.50,7.00,11.51,16.78,38.79,45.91,1.44,43.14,2.50,893.69,19114.09,0.00,75.00,1.17,165.20,6.00,14.45
Atam Valves,543236,ATAM,Engineering,104.53,17.49,119.82,24.11,5.09,20.81,28.54,3.66,61.95,30.93,3.28,0.32,0.25,8.09,3.00,11.08,42.10,5.98,34.05,1.53,100.20,1.15,83.70,127.72,0.00,52.29,7.91,-2.28,6.00,13.23
ATC Energies,,ATCENERGY,Dry Cells,93.85,17.57,191.35,37.22,6.78,39.37,,,,14.56,3.43,,0.62,7.20,6.00,21.27,84.22,6.78,26.17,1.61,44.84,2.04,,209.15,0.00,72.06,6.80,-1.37,3.00,24.01
Atishay,538713,,Computers - Software - Medium / Small,146.25,22.91,160.60,20.22,6.38,15.41,44.26,3.30,79.73,22.70,2.64,0.97,0.09,7.36,6.00,13.70,37.33,6.38,30.87,2.62,89.34,1.10,89.24,158.02,0.00,74.99,6.24,7.09,3.00,13.15
Aurionpro Sol.,532668,AURIONPRO,Computers - Software - Medium / Small,1402.30,41.59,7742.59,18.07,33.72,15.30,272.26,5.15,454.48,9.18,2.95,1.08,0.02,8.89,4.00,16.06,32.43,33.72,30.87,2.87,95.19,5.52,935.07,7411.38,0.00,26.88,3.13,188.16,4.00,11.26
Australian Prem,,APS,Electric Equipment,472.10,24.00,931.93,70.65,19.67,57.51,44.05,10.72,139.63,62.05,1.59,0.24,0.09,11.07,6.00,8.97,64.06,19.67,44.87,1.16,36.47,1.97,543.76,910.40,0.00,74.26,5.92,,7.00,26.92
Auto.Corp.of Goa,505036,,Auto Ancillaries,1802.75,23.55,1097.63,20.16,76.54,19.72,416.75,4.33,847.15,23.89,2.01,0.69,0.34,7.14,5.00,7.05,32.85,76.54,26.23,1.73,72.65,0.61,951.45,1111.85,0.00,49.77,5.63,40.43,5.00,11.12
Avantel,532406,AVANTEL,Telecommunications - Equipment,122.20,54.04,3237.83,37.03,2.26,28.57,9.36,13.06,21.82,19.69,5.22,1.32,0.11,20.92,4.00,24.11,33.29,2.26,73.12,3.32,104.43,26.50,81.31,3256.50,0.00,38.57,2.63,35.58,4.00,23.01
Avanti Feeds,512573,AVANTIFEED,Food - Processing - Indian,883.75,25.03,12040.71,20.01,26.21,15.09,184.61,4.79,382.98,19.76,5.45,4.72,0.01,9.67,7.00,6.91,9.40,35.31,31.16,4.18,9.75,13.62,388.68,11368.16,0.00,43.23,5.97,156.88,4.00,12.73
Avax Apparels,544337,,Trading,134.00,10.09,13.92,71.28,18.03,56.10,,,,6.13,2.28,,0.23,12.16,5.00,6.26,,18.03,28.96,2.02,50.63,0.10,,14.38,0.00,41.97,13.98,-1.47,2.00,33.25
Aztec Fluids,544177,,Computers - Hardware,98.28,18.67,133.66,34.76,6.13,32.65,34.60,2.84,68.25,15.05,1.54,,0.12,5.72,6.00,8.89,25.93,5.98,27.65,1.31,51.18,1.36,163.77,138.79,0.00,74.00,6.69,5.40,4.00,16.02
B & A Packaging,523186,,Packaging,284.55,11.76,141.14,20.38,23.08,16.69,160.02,1.78,295.13,11.76,3.57,0.62,0.05,5.66,8.00,8.89,9.75,24.19,22.86,2.24,64.07,0.50,312.27,129.83,0.00,72.37,11.98,20.96,3.00,12.23
B.R.Goyal Infra.,544335,,Construction,130.50,14.63,310.91,21.55,25.15,18.55,,,,4.89,2.62,0.66,0.53,5.75,6.00,3.67,42.52,25.15,20.84,1.45,18.16,2.38,,360.16,0.00,73.12,9.53,43.06,4.00,9.86
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,8482.50,31.44,236880.27,33.53,276.10,26.48,1109.33,7.65,2595.21,19.58,1.52,2.95,0.17,11.26,7.00,17.21,17.38,269.84,31.44,1.36,16.88,27.93,3940.99,240572.36,0.01,55.04,4.41,13831.12,4.00,20.74
Bajaj Steel Inds,507944,,Engineering,696.15,20.99,1447.99,23.83,28.37,19.64,170.80,4.08,405.10,7.14,1.91,0.62,0.17,7.02,3.00,10.80,2.56,42.70,35.65,1.07,32.94,2.08,641.86,1439.22,0.00,48.27,6.83,0.45,5.00,11.79
Balaji Phos.,,BALAJIPHOS,Fertilizers,140.50,55.40,334.07,18.70,3.39,18.85,,,,35.50,1.65,,0.95,9.50,4.00,3.98,13.85,3.39,19.07,0.97,74.78,2.38,,365.07,0.00,69.90,3.16,-5.08,2.00,6.51
Balu Forge,531112,BALUFORGE,Castings & Forgings,614.35,32.98,6723.56,31.26,18.63,25.38,96.24,6.38,200.83,32.84,3.19,,0.04,11.60,5.00,22.07,47.80,18.63,28.60,2.64,129.33,10.94,798.67,6667.13,0.00,55.78,3.97,-429.11,4.00,20.75
Balurghat Tech,520127,,Miscellaneous,20.83,14.87,37.91,15.63,1.35,17.50,8.99,2.32,16.84,14.45,1.89,0.59,0.74,6.11,7.00,3.10,-4.98,1.40,24.35,1.89,84.71,1.82,12.03,44.90,0.00,33.51,8.91,6.59,4.00,8.37
Banco Products,500039,BANCOINDIA,Auto Ancillaries,412.10,19.23,5894.57,26.96,18.98,26.86,89.05,4.63,207.21,10.56,2.41,0.60,0.33,7.41,7.00,9.96,21.79,21.43,26.23,1.09,63.41,14.30,380.64,6265.70,0.00,67.88,7.25,212.62,5.00,14.37
Basilic Fly Stud,,BASILIC,Entertainment / Electronic Media Software,425.80,33.91,989.56,63.00,15.71,47.18,70.84,6.01,141.47,24.24,2.01,,0.34,7.02,4.00,35.59,,12.56,35.34,2.01,188.77,2.32,638.03,1008.10,7.54,59.90,4.39,-18.85,2.00,37.19
BCL Industries,524332,BCLIND,Breweries & Distilleries,39.97,12.74,1179.77,15.71,3.32,16.01,25.64,1.56,42.98,10.98,2.24,0.75,0.50,5.03,6.00,4.52,14.26,3.20,29.88,1.05,20.86,29.52,66.82,1538.53,4.40,58.03,11.01,-397.91,5.00,8.04
Beacon Trust.,,BEACON,Finance & Investments,78.90,27.62,142.53,42.62,3.64,31.10,24.27,3.25,44.56,28.71,4.19,,0.00,7.01,8.00,24.71,55.16,3.64,21.48,4.19,58.04,1.81,200.09,139.67,0.00,46.15,5.06,2.22,4.00,20.84
Benares Hotels,509438,,Hotels,9837.20,29.57,1278.84,37.33,332.69,28.29,1328.62,7.40,3153.64,25.71,7.59,0.93,0.02,13.94,7.00,31.93,39.56,332.69,40.37,7.51,10.89,0.13,7469.44,1193.03,0.00,62.58,4.90,80.21,6.00,24.61
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,576.10,56.90,67167.20,25.14,10.12,20.47,52.78,10.91,109.66,67.04,2.05,4.42,0.11,14.93,5.00,10.25,9.63,10.12,40.01,1.06,48.55,116.59,135.77,67336.99,0.00,74.98,2.42,2396.75,3.00,13.52
Beta Drugs Ltd,,BETA,Pharmaceuticals - Indian - Bulk Drugs,1786.90,39.39,1803.80,27.33,42.02,25.85,195.24,9.15,429.65,29.06,3.22,1.06,0.67,9.24,5.00,12.64,25.38,42.02,26.98,2.64,103.33,1.01,1143.90,1789.48,0.00,66.73,3.83,23.79,5.00,13.27
Bhansali Engg.,500052,BEPL,Petrochemicals,113.14,15.64,2815.58,25.35,7.23,18.70,40.27,2.81,80.96,13.38,11.25,0.71,0.00,8.27,7.00,12.88,0.09,7.23,19.87,9.83,66.71,24.89,135.24,2411.11,0.00,57.47,10.12,446.64,4.00,16.67
Bharat Dynamics,541143,BDL,Engineering,1842.00,119.37,67520.81,24.23,16.71,17.90,101.81,18.09,188.01,22.86,3.05,15.46,0.00,11.94,6.00,25.86,7.38,15.43,96.08,2.31,47.83,36.66,185.45,64050.34,0.00,74.93,1.19,2780.80,5.00,6.39
Bharat Electron,500049,BEL,Electronics - Components,363.90,53.30,266002.85,34.61,5.45,26.27,24.16,15.06,60.93,21.43,1.62,3.33,0.00,12.84,9.00,19.57,12.83,6.83,75.41,1.17,133.13,730.98,89.55,257747.41,0.00,51.14,2.57,8286.06,5.00,10.57
Bhatia Communic.,540956,,Trading,23.80,21.48,297.86,21.14,0.92,19.10,6.58,3.62,12.81,27.54,3.01,1.19,0.19,9.00,8.00,2.78,33.78,1.11,47.36,0.87,5.39,12.52,22.53,304.93,0.00,73.88,6.67,19.52,6.00,10.69
Bio Green Papers,534535,,Computers - Software - Medium / Small,134.42,44.40,1565.08,25.96,1.82,25.97,8.33,16.13,18.49,52.11,14.07,0.36,0.00,20.07,8.00,8.65,,1.82,30.87,14.07,1.35,11.64,13.34,1555.23,0.00,81.79,2.27,-60.63,3.00,25.16
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,429.70,20.78,11940.38,29.76,22.61,22.48,117.51,3.66,234.56,21.79,3.86,1.14,0.04,8.16,7.00,11.70,14.07,20.81,30.87,3.82,71.68,27.79,405.60,11668.81,0.00,40.63,6.81,1422.40,5.00,17.36
Black Rose Indus,514183,,Trading,102.02,24.98,520.30,21.20,4.16,15.62,27.73,3.68,50.48,32.04,3.32,2.82,0.12,8.88,6.00,5.59,0.06,4.08,28.96,1.98,64.06,5.10,56.91,524.07,0.00,75.00,5.58,36.77,3.00,11.99
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,393.75,31.90,16212.30,32.90,12.34,34.59,42.04,9.37,108.05,29.29,2.34,0.69,0.21,11.95,5.00,24.60,37.17,12.34,30.87,2.34,20.26,41.17,278.05,15830.59,0.00,70.38,4.00,1146.54,5.00,24.41
Blue Jet Health,544009,BLUEJET,Pharmaceuticals - Indian - Bulk Drugs & Formln,823.70,46.82,14288.35,47.88,17.59,36.11,53.27,15.46,145.21,47.18,3.24,2.90,0.00,23.02,7.00,29.63,14.65,17.59,30.75,2.51,62.70,17.35,207.66,14203.45,0.00,86.00,2.86,116.60,5.00,28.82
